Turkey,1958,272,Peacetime
Kenya,1994,272,Peacetime
Chile,1928,262,Peacetime
Indonesia,1996,340,Peacetime
United States,1913,255,Peacetime
Britain,1961,238,Peacetime
Greece,1966,234,Peacetime
Anguilla,1970,233,Peacetime
South Korea,1953,229,Peacetime
Russia,1921,400,Peacetime
Brazil,1906,212,Peacetime
Britain,1909,211,Peacetime
Japan,1908,206,Peacetime
Britain,1919,205,Peacetime
Bangladesh,1988,200,Peacetime
Russia,1905,4380,Wartime
Japan,1904,1086,Wartime
Russia,1904,620,Wartime
Japan,1904,496,Wartime
Japan,1904,319,Wartime
Japan,1904,273,Wartime
Japan,1904,200,Wartime
Spain,1939,1476,Wartime
Spain,1938,765,Wartime
Spain,1936,130,Wartime
Spain,1936,40,Wartime
Spain,1936,38,Wartime
Spain,1936,34,Wartime
Germany,1937,31,Wartime
China,1948,3920,Wartime
China,1949,1500,Wartime
United States,1967,34,Wartime
Pakistan,1971,92,Wartime
Pakistan,1971,100,Wartime
India,1971,194,Wartime
Argentina,1982,323,Wartime
Britain,1982,20,Wartime
Britain,1982,19,Wartime
Britain,1982,48,Wartime
United States,1987,37,Wartime
Senegal,2002,1864,Peacetime
Tanzania,2011,1500,Peacetime
Libya,2015,1100,Peacetime
Egypt,2006,1020,Peacetime
Philippines,2008,690,Peacetime
Bangladesh,2003,530,Peacetime
Indonesia,2000,481,Peacetime
China,2015,442,Peacetime
Bangladesh,2002,450,Peacetime
Indonesia,2006,500,Peacetime
Libya,2015,400,Peacetime
Libya,2013,359,Peacetime
Indonesia,2001,353,Peacetime
South Korea,2014,304,Peacetime
United States,2021,13,Peacetime
United States,2021,3,Peacetime
Uganda,2014,251,Peacetime
Indonesia,2009,250,Peacetime
Tanzania,2018,228,Peacetime
Libya,2009,225,Peacetime
Bangladesh,2005,200,Peacetime
Bangladesh,2004,200,Peacetime
Sierra Leone,2009,190,Peacetime
Indonesia,2018,167,Peacetime
Congo,2003,163,Peacetime
Libya,2011,270,Peacetime
Tanzania,2012,150,Peacetime
Papua New Guinea,2012,165,Peacetime
Senegal,2020,140,Peacetime
Cameroon,2006,127,Peacetime
Philippines,2013,120,Peacetime
Russia,2000,118,Peacetime
Bangladesh,2012,116,Peacetime
Djibouti,2006,116,Peacetime
Philippines,2004,116,Peacetime
Russia,2011,122,Peacetime
Madagascar,2004,111,Peacetime
Greece,2000,82,Peacetime
Kiribati,2018,81,Peacetime
Tonga,2009,74,Peacetime
Bangladesh,2009,72,Peacetime
China,2003,70,Peacetime
Libya,2011,63,Peacetime
Philippines,2015,61,Peacetime
Congo,2021,60,Peacetime
Bangladesh,2014,56,Peacetime
Somalia,2012,55,Peacetime
Georgia,2001,54,Peacetime
Malta,2007,53,Peacetime
Indonesia,2021,53,Peacetime
Philippines,2008,52,Peacetime
Indonesia,2007,51,Peacetime
Myanmar,2009,50,Peacetime
Australia,2010,48,Peacetime
Bangladesh,2009,47,Peacetime
India,2009,45,Peacetime
Philippines,2002,44,Peacetime
Argentina,2017,44,Peacetime
Vietnam,2009,43,Peacetime
Azerbaijan,2002,43,Peacetime
Brazil,2008,41,Peacetime
Bangladesh,2008,41,Peacetime
Bangladesh,2004,40,Peacetime
Hong kong,2012,39,Peacetime
United States,2022,39,Peacetime
Indonesia,2018,35,Peacetime
United States,2000,17,Wartime
South Korea,2010,46,Wartime
Russia,2022,300,Wartime
